岗位名称,公司名称,工作地点,薪资范围,学历要求,工作经验,岗位描述,技能要求,岗位分类,投递链接
推荐算法工程师,腾讯,广州,19-38K,本科,不限,"1.负责微信小店业务的推荐技术研发，包括但不限于召回、精排、重排，新用户冷启等；
2.结合微信小店的业务特点，对推荐全链路上的模型进行效果优化以及推荐策略迭代，提升用户体验以及业务指标。",机器学习,算法,http://careers.tencent.com/jobdesc.html?postId=1936827400029601792
光子 AI-3D 内容合成数据研究员,腾讯,深圳,10-21K,本科,不限,"1.基于 UE5/Unity/Houdini/Blender 搭建合成数据生产管线，完成场景配置、相机轨迹、灯光等全流程开发；
2.实现 procedural content generation 批量生产场景，构建 3D 资产管理系统；
3.自动导出引擎数据：GBuffer、语义分割、3D primitives、相机参数、optical flow 等，输出多视角同步采集数据；
4.优化批量渲染效率，建立合成资产复用机制，降低单条视频成本；
5.跟踪业界合成数据做法，探索 sim2real domain randomization 在视频生成中的应用。",见岗位描述,算法,http://careers.tencent.com/jobdesc.html?postId=2067065220651728896
大模型训练工程师,腾讯,北京,10-21K,本科,不限,"1.负责微信输入法 NLP 大模型的 SFT、RL 等核心训练数据集的构建与策略优化，持续提升数据质量；
2.负责微信秒剪多模态理解和多模态生成大模型数据构建，包括但不限于视频理解、文生图、视频生成等方向，参与 AIGC 多样性数据集的构建与优化；
3.负责搭建大模型效果评测体系，设计评测维度、构建评测基准，并深入分析 Bad Case 以驱动大模型迭代。",大模型,算法,http://careers.tencent.com/jobdesc.html?postId=1990409397477728256
算法工程师,腾讯,深圳,10-21K,本科,不限,"1.负责腾讯混元机器学习平台的设计与开发，包括：性能优化，持续提升训练性能，包括多机多卡大规模训练优化，数据交换优化等；
2.深入理解跟踪业界AIGC动态，优化平台技术方案，提升平台易用性，降低大模型研发门槛，不断推进平台的LLMOps能力升级；
3.积极追踪业内AI动态，优化内部技术方案，改进产品性能，不断推进AI架构升级。",机器学习、大模型,算法,http://careers.tencent.com/jobdesc.html?postId=2038789908503621632
风控算法工程师,腾讯,广州,10-21K,本科,不限,"1.设计、开发和优化机器学习模型，应用于微信小店及微信交易的内容审核、风险控制、商家行为监管和用户安全等治理场景；
2.基于海量的数据，进行数据清洗、特征提取、模型训练和评估，提升平台违规行为检测的准确性和效率；
3.参与反作弊、信息过滤、虚假交易检测等关键系统的算法研发和优化，维护平台生态健康。",机器学习,算法,http://careers.tencent.com/jobdesc.html?postId=2077292986491912192
腾讯AI协作工具,腾讯,深圳,10-21K,本科,不限,"1.负责腾讯AI协作工具企业版的全栈架构设计与持续演进，覆盖多端形态，主导关键技术选型与架构决策，确保后端系统的高可用性、高性能和可扩展性；
2.参与业务需求分析，制定合理的技术方案并高效落地，保障产品功能的稳定迭代；
3.设计和实现高并发、高可靠的后端服务，支持海量用户和数据的安全存储与处理；
4.构建跨端统一工程体系，设计前端核心架构与多端共享逻辑层，沉淀高复用率、可扩展的统一研发方案。",高并发,算法,http://careers.tencent.com/jobdesc.html?postId=2074485451019956224
AI视频数据项目经理,腾讯,北京,10-21K,本科,不限,"1.需求承接与规则制定：作为AI视频方向数据对接人，深入理解视频生成模型各阶段的数据需求，日常和算法/产品团队对接，主导将算法需求转化为可执行的标注规则与评测标准，并持续迭代优化；
2.项目全流程管理：独立负责AI视频方向多个并行标注/评测项目的全生命周期管理，包括需求拆解、排期规划、资源调度、进度管控、质量验收与交付复盘，确保项目按时保质交付；
3.交付质控体系搭建：主导各类项目交付和团队情况评估，部署团队，搭建视频标注与评测的质量管控体系，持续提升交付准确率，确保如期完成项目交付；
4.评测驱动迭代：对人工评测体系建设（含评测维度定义、评测集构建、评测报告撰写）有了解，基于评测结果进行bad case归因分析，反向推动算法侧优化方向，以数据驱动模型能力进化；
5.团队建设与管理：统筹管理100-500人规模的标注/评测团队（含内部PM、作业团队），负责团队梯队搭建、培训体系建设、绩效考核与人才培养；
6.降本增效与流程优化：推动标注工具与平台优化，探索AI预标/辅标能力落地，设计人机协同作业模式，持续提升数据生产效率并控制成本；
7.跨团队协同：与算法、产品、美学专家、",见岗位描述,算法,http://careers.tencent.com/jobdesc.html?postId=2067158751374393344
混元AI HUB平台工程Lead,腾讯,北京,10-21K,本科,不限,"1.全权负责混元 AI HUB 平台架构与工程落地，支撑模型训练、微调业务；
2.主导数据全链路架构迭代，优化研发工具链与调度部署流程，提升团队使用效率；
3.搭建高并发、高稳定平台体系，保障海量数据量产场景的数据准确与服务可靠；
4.攻坚调度引擎、数据流水线等核心模块，完善监控、灰度、复盘等标准化基建；
5.结合业务主动识别平台短板，从技术、流程层面前置解决大模型迭代痛点；
6.统筹工程团队技术规划与人员培养，联动算法、产品、测试完成版本迭代交付。",高并发、大模型,算法,http://careers.tencent.com/jobdesc.html?postId=2082042039100424192
AI算力配套优化,腾讯,深圳,10-21K,本科,不限,"1.负责公司AI配套基础设施的规划和性能优化，包括网络专线、内存、磁盘、CPU算力；
2.推动公司整体CPU和内存使用效能提升，包括RL框架和KV Cache的内存压缩优化，大规模K8S集群的CPU超卖和内存压缩能力建设。",Kubernetes,算法,http://careers.tencent.com/jobdesc.html?postId=2074084854668111872
搜索算法工程师,腾讯,深圳,10-21K,本科,不限,"1.﻿﻿负责Al搜索中检索排序方向的核心技术研发，包括检索规划、语义召回、LLM-based Ranking等算法研发、优化与创新，提升检索的相关性、时效性、质量、权威性；
2.﻿﻿跟踪Al搜索领域的前沿技术，参与前沿算法研究，推动研究成果在业务场景的落地应用；
3.﻿﻿参与产品讨论，基于技术对产品提出改进建议。",大模型、机器学习,算法,http://careers.tencent.com/jobdesc.html?postId=2067162375395655680
游戏AI算法工程师,腾讯,深圳,10-21K,本科,不限,"1.负责游戏内音频算法的实现与优化；
2.系统化的设计与研发游戏业内领先的音频算法与音效解决方案；
3.解决游戏音频疑难问题。",机器学习,算法,http://careers.tencent.com/jobdesc.html?postId=1962418323614490624
大数据开发工程师,腾讯,深圳,14-28K,本科,不限,"1.负责SSV相关产品数据工程工作，包含数据基建搭建、数据链路优化、数据工具平台建设与维护，支撑业务数据常态化产出；
2.搭建并完善产品数据体系与数据Pipeline，负责数据采集、加工、调度与质量治理，持续优化数据稳定性、准确性与产出效率；
3.定位数据链路及业务侧核心问题，支撑产品迭代、运营复盘及AB实验落地，为产品策略与业务优化提供稳定的数据底座支撑；
4.协助标准化数据口径、沉淀数据资产，利用AI工具辅助提升数据开发效率，落地自动化数据流程建设。",Spark,数据,http://careers.tencent.com/jobdesc.html?postId=2072876432996089856
数据分析师,腾讯,深圳,10-21K,本科,不限,"What the Role Entails
深度体验并跟进新玩法，从玩家与市场视角输出优化建议，推动研发迭代打磨。
洞察玩家需求与市场趋势，为新玩法定位与设计方向提供发行侧输入。
制定新玩法上线及版本更新的运营策略，协调各团队推进落地。
搭建玩法数据监控与反馈体系，追踪核心指标，推动问题闭环解决

Who We Look For
本科及以上学历，1年以上游戏产品运营或发行相关经验，有从0到1运营经验者优先。
深度游戏玩家，体验洞察敏锐，能从玩家感受出发输出高质量产品建议。
逻辑清晰，数据敏感，跨团队沟通与推动能力强。
抗压能力强，适应快节奏高协同环境。

Equal Employment Opportunity at Tencent
As an equal opportunity employer, we firmly believe that diverse voices fuel our innovation and allow us to better serve our users and the community. We foster an environment wher",见岗位描述,数据,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/China-Shenzhen/PUBG-MOBILE--_R107511-3
数据平台开发工程师,腾讯,深圳,10-21K,本科,不限,"1.负责标注平台CLI的研发和维护工作，负责GUI/WebDev/GDPval等核心标注工具与Tlabel平台打通的研发工作；
2.负责专家平台的研发和维护工作，支撑整套专家标注体系的平台化运转和后续新增需求。",见岗位描述,数据,http://careers.tencent.com/jobdesc.html?postId=2038450103123079168
数据治理工程师,腾讯,深圳,10-21K,本科,不限,"1.负责大模型后训练数据质检 Pipeline 及相关工程工具的研发，支持数据接入、质量检测、结果处理和数据交付；
2.负责接入团队提供的质量检测能力，协同开发团队建设任务调度、结果管理、版本管理和运行监控等平台功能；
3.协同算法、数据及训练团队，持续优化质量检测能力的接入和数据质检流程。",大模型,数据,http://careers.tencent.com/jobdesc.html?postId=2087365732160679936
游戏客户端开发工程师,腾讯,深圳,10-21K,本科,不限,"1.负责在研FPS项目的测试工作，作为特性负责人带领子公司及外包同学一起保障产品质量；
2.负责制定对应特性组的测试计划、把控特性风险、推动测试流程与效率优化；
3.从黑盒和白盒的角度进行测试分析，制定测试方案，并跟进外包测试执行，持续优化测试方案；
4.针对游戏业务测试中的难点和盲区主动提出新的解决方案，开发对应的测试工具；
5.负责一个或多个专项测试，包括自动化、性能、兼容性、稳定性、容灾等。",见岗位描述,前端,http://careers.tencent.com/jobdesc.html?postId=2054121287638499328
客户端开发工程师,腾讯,深圳,14-26K,本科,不限,"1.负责游戏社区的开发维护工作，包括新方向探索、性能调优、技术难点攻坚等；
2.负责应用架构设计、高质量的技术设计和编码，设计良好的代码结构，不断迭代重构；
3.持续优化产品，提升产品体验，模块化改造，提升质量、性能和交付效率；
4.负责前端模块，包括基础框架、游戏工具、动态、直播、视频、赛事等模块的持续建设开发。",见岗位描述,前端,http://careers.tencent.com/jobdesc.html?postId=2065265854395891712
测试工程师,腾讯,深圳,8-17K,本科,不限,"1.负责AI Agent全链路评测与质量保障工作，聚焦Agent能力基准测试、自动化评测基座建设及分级评测指标定义；
2.针对AI生成的非确定性与参数化特点，设计并量化评测标准，搭建科学的分级评测指标体系；
3.主导构建高质量的基准测试集（Benchmark），覆盖多轮交互、长短上下文等复杂场景，解决AI生成结果验证标准量化的核心难题；
4.参与设计和研发Agent自动化评测基座，通过构建自动化测试脚本和引入大模型交叉验证（LLM-as-a-Judge）机制，提升评测效率；
5.建立高效的缺陷定界机制，精准判断问题根因，输出多维度评测报告并协同开发团队推动问题解决。",大模型、Python,测试,http://careers.tencent.com/jobdesc.html?postId=2064235003574923264
安全测试工程师,腾讯,深圳,10-21K,本科,不限,"1.负责终端安全产品（EDR、数据采集、行为拦截）的功能与安全测试，验证检测能力、拦截策略的有效性与完整性，保障交付质量；
2.负责内核级防护项目的测试工作，设计测试方案并验证防护功能的正确性与稳定性；
3.根据产品需求与技术方案，进行测试用例设计，覆盖功能验证、边界场景、异常输入、兼容性等维度；
4.参与产品安全方案评审，从测试角度提出风险点与验证建议，协助推动问题闭环；
5.建设与维护测试工具及自动化脚本，提升测试效率与覆盖度。",Python,测试,http://careers.tencent.com/jobdesc.html?postId=2054536052047265792
基础架构工程师,腾讯,北京,17-35K,本科,不限,"1.理解零售企业业务的需求，分析其快速发展过程中，在技术层面所遇到的挑战和未来的方向，通过技术来助力客户业务的发展；
2.针对行业客户当前现状，提供应用架构和数据架构的咨询规划，云上架构优化建议以及基于业务场景的可行性方案；
3.在客户项目实施过程中，根据项目本身的需要，协助研发团队或实施团队（客户或合作伙伴）完成Demo系统搭建，PoC测试及最终交付工作；
4.负责客户案例、技术方案的更新维护，及相关的布道工作；
5.协调腾讯云产品团队支持客户业务需求。",见岗位描述,运维,http://careers.tencent.com/jobdesc.html?postId=2074485674672832512
运维工程师,腾讯,深圳,10-21K,本科,不限,"1.负责GPU、CPU、异构计算设备的日常运维、软硬件排障、调优，以及算力服务能力提升、资源利用效率提升，保障算力输出的持续、稳定、高效；
2.负责k8s集群管理和治理，容灾设计、监控告警、版本变更、安全演练等，保障系统高可用和可维护；
3.负责运维运营工作自动化，包括资源管理、变更管理、故障恢复、用户工具接口等。",Kubernetes、Linux,运维,http://careers.tencent.com/jobdesc.html?postId=2029725934701146112
GPU基础设施工程师,腾讯,北京,21-38K,本科,不限,"1.负责构建面向腾讯营销业务的机器学习平台；
2.优化GPU训练平台的训练性能，打造高吞吐高性能的训练系统；
3.优化GPU训练框架，提高训练平台易用性。",机器学习,运维,http://careers.tencent.com/jobdesc.html?postId=2052709091612209152
安全工程师,腾讯,深圳,14-28K,本科,不限,"1.安全风险收敛流程建设：结合业务实际风险，理解业务特性，制定收敛目标和roadmap，建立评估-收敛-评测落地方案，沉淀形成最佳实践；
2.安全风险收敛能力建设：参与安全架构设计实现，建设黑白盒例行扫描能力，联合业务开发风险止损和修复工具，有效收敛安全风险；
3.技术竞争力建设：打造定制化业务特性的安全解决方案和能力，横向比较有技术竞争力。",见岗位描述,安全,http://careers.tencent.com/jobdesc.html?postId=2083853733489459200
安全开发工程师,腾讯,深圳,10-21K,本科,不限,"1.负责微信支付安全服务（人脸组件、权限组件等）的开发和维护工作，快速响应服务内外用户，满足服务体验、高可用、高性能等要求；
2.负责微信支付安全风险管理体系的工程建设，包括AI应用安全、DevSecOps、数据安全、办公安全、SoC等的开发和维护，持续打造高安全、高效能的安全治理体系。",见岗位描述,安全,http://careers.tencent.com/jobdesc.html?postId=2070404562619117568
产品经理,腾讯,深圳,12-24K,本科,不限,"1.负责海外的电子钱包业务，负责关键场景的产品建设与用户增长；
2.对接卡组织、清算机构、收单机构、汇款机构等，集成其出入金能力与场景覆盖；
3.关注用户体验与线上产品质量，持续管理用户侧的使用稳定性、转换率；
4.协调内部财务、合规等职能，推动金融创新的立项与落地。",见岗位描述,产品,http://careers.tencent.com/jobdesc.html?postId=2072623740965007360
运营专员,腾讯,深圳,7-14K,本科,不限,"1.挖掘QQ用户喜欢的内容类型，包括但不限于漫剧、AI真人剧、剧情游戏等，负责内容的引入及孵化，建立作者成长体系，提升内容供给的质量和品质；
2.基于QQ的漫剧运营场景，建设对应的内容运营策略，为内容场景的播放量、留存等指标负责；
3.负责制定内容作者合作分成方案及激励计划，激发创作者的创作热情，提高作品质量和产出效率；
4.负责引入内容的审核，为引入内容的质量和品质负责，提升内容场景的用户体验。",见岗位描述,运营,http://careers.tencent.com/jobdesc.html?postId=2047584818077794304
安全运营工程师,腾讯,深圳,10-21K,本科,不限,"1.负责射击类游戏的安全运营工作，对游戏安全环境结果负责；
2.制定并跟进安全相关指标变化，负责风险监控和过程跟踪，推动安全各项关键指标的达成；
3.从事前、事中、事后多项维度推进各干系人优化对抗方案并推进落地，跟进效果和复盘；
4.从数据分析角度识别外网安全问题，并制定解决方案和推动优化落地；
5.负责安全紧急外网问题的处理和闭环。从技术对抗、舆情管理、产品运营等角度提升游戏安全口碑。",见岗位描述,运营,http://careers.tencent.com/jobdesc.html?postId=1993913290757132288
游戏运营,腾讯,深圳,10-21K,本科,不限,"1.构建游戏全平台内容生态体系，制定内容规划与生态搭建路径，打通内容生产、分发、运营闭环，奠定长线内容生态基础；
2.统筹内容平台、MCN 机构、公会的全链路合作，搭建可持续的创作者招募与孵化体系，主导内容生态资源分配与跨部门协同，保障内容生态规模化、体系化落地；
3.基于对游戏底层吸引力与玩家核心诉求的深度共情，精准挖掘游戏内容亮点与创作方向，策划分层内容策略，孵化扶持创作者，打造优质内容矩阵；
4.配合产品节点，统筹内容与直播的全链路宣发落地，通过内容生态放大产品声量，助力产品用户增长与品牌建设。",见岗位描述,运营,http://careers.tencent.com/jobdesc.html?postId=2075106112499269632
市场运营专员,腾讯,深圳,10-21K,本科,不限,"1.参与制定产品品牌定位和年度品牌策略，辅助规划全年重点营销项目和推广节奏，根据策略和项目有效合理管理营销费用；
2.协同产品运营，独立完成线下/线上整合营销campaign，端到端完成项目策划、统筹及实施，把控项目进度、跟进效果，促进业务目标达成并对最终营销结果负责；
3.擅用AI独立策划和输出高质量的内容及推广素材；
4.熟悉内容营销，对各个社交媒体和内容平台有自己的理解和实操经验，能以结果导向落地KOL种草；
5.对接和积累外部平台和品牌资源，助力业务开展。",见岗位描述,运营,http://careers.tencent.com/jobdesc.html?postId=2059565107003961344
服务器资源需求管理,腾讯,深圳,10-21K,本科,不限,"1.负责腾讯各业务的服务器需求管理计划、资源服务等运营管理工作，包括各项指标的提升（执行率、准确率、服务水平等）；
2.深入了解业务特点、技术架构、云需求特点，对需求合理性进行评估。结合业务规划、预算等因素制定业务的需求计划，监控需求履约情况和协调异常处理；
3.分析各需求计划特点，负责服务器供应链全链条的集成计划管理，管理S&OP，识别供应风险并推动各环节有序进行；
4.拉通业务容量到公司资源池，监控资源利用率，追踪资源满足度，支持各业务的需求满足，提升客户满意度。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=1856842514988818432
数据中心经理,腾讯,北京,10-21K,本科,不限,"1.按照公司战略和部门规划，统筹资源安排，制定数据中心服务策略；
2.结合IDC实际情况均衡考虑服务质量、效率、成本及安全，以支撑部门的业务运营；
3.负责与运营商的后台团队建立密切、高效合作关系；
4.推动运营商建立面向用户的运营体系，推动运营商IDC建设和运营水平不断提升；
5.负责IDC的基础设施整体可靠性、现场运营质量、运营成本及运营安全，并持续优化及改进；
6.负责IDC现场运维外包团队管理及考核。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2074084939942506496
游戏Agentic Engineer,腾讯,深圳,10-21K,本科,不限,"1.端到端的支撑对腾讯二方工作室的AI提效和AI赋能；
2.分析二方工作室的工作流，选择性的对工作流实施Agentic改造，并基于改造后的工作流打造最佳实践；
3.参与游戏行业智能NPC设计，实现和优化；
4.参与游戏行业DataAgent设计，实现和优化。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2039533180888973312
游戏技术美术,腾讯,深圳,10-21K,本科,不限,"1.负责游戏美术 Pipeline 相关工具、流程系统及配套服务的设计、开发和维护，覆盖资产生产、流转、校验、发布等核心环节，通过工具和流程优化提升项目美术生产效率与品质；
2.对接项目需求，结合项目管理、程序、美术、TA 等团队协同推进问题解决与方案落地；
3.负责 Pipeline 工具及流程系统的前后端一体化开发，包括工具界面、服务接口、数据流转、权限配置及相关功能迭代；
4.负责技术 Demo、方案文档、培训资料和使用手册的整理与沉淀，推动工具管线在项目中的接入、推广、验收与持续优化；
5.持续关注 AI 及自动化技术在游戏美术生产中的应用，结合实际业务场景快速完成工具或方案原型的开发与验证。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2084563314133872640
客户成功,腾讯,西安,10-21K,本科,不限,"1.面向头部客户深入业务场景，将需求转化为WorkBuddy/CodeBuddy可落地的AI解决方案，主导落地交付（场景适配、系统集成、效果调优、上线护航）；
2.基于WorkBuddy的Skills与Connector生态，为客户定制办公提效、知识问答、内容生成等场景方案，打通飞书/企微/腾讯文档等办公链路；同时推动CodeBuddy融入客户IDE与CI/CD流程，提升研发效能；
3.基于客户私有知识库与业务数据构建RAG问答能力，运用上下文工程与Prompt工程定制WorkBuddy Skills 与Agent编排方案，通过MCP打通客户内部系统（CRM/ERP/OA等），实现多Agent协同与跨系统互通；
4.跟踪客户业务指标（交付周期缩短率、代码采纳率、办公效率提升等），持续调优方案确保价值可感知，并将一线经验沉淀为可复用的交付资产与行业方案模板，反哺产品竞争力提升。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2075126127122362368
固件开发工程师,腾讯,深圳,10-21K,本科,不限,"1.负责企业级SSD产品的固件设计和开发工作；
2.基于产品需求，负责企业级SSD固件的架构设计，确保系统的高性能和高可靠性；
3.设计和优化SSD固件相关算法，以提升产品性能，稳定性和可靠性；
4.负责SSD固件代码的开发和测试，编写自动化测试脚本，验证固件模块功能，性能和可靠性；
5.解决产品测试验证过程中与固件相关的技术问题；
6.与硬件开发团队合作，确保固件与硬件的兼容性；
7.与上层业务进行协同开发，确保固件与主机驱动的兼容性，交付业务定制化的软硬件结合固件特性。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2029340004978950144
产品体验设计师,腾讯,深圳,10-21K,本科,不限,"1.负责支付应用类产品的体验设计，提升产品可用性、易用性和体验质量；
2.理解业务目标和用户需求，结合数据制定增长设计方案，并与产品、研发团队协作推动落地；
3.关注支付、金融类产品的体验变化和设计趋势，推动产品体验优化和设计创新。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2056970009661583360
产品策略,腾讯,深圳,10-21K,本科,不限,"1.负责跟进和平精英产品及用户策略的制定与执行等工作；
2.负责产品重点专项的整合及输出，并协调配合各团队更好的落地；
3.持续跟踪分析重点项目的进度及效果，及时反馈并提出优化建议，确保项目落地的效率和质量；
4.跟进产品口碑表现，灵活制定优化策略并推动项目全链路落地；
5.跟进产品专项研究、分析、监控等研究分析类工作进展。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2083118671726817280
产品售前解决方案,腾讯,深圳,10-21K,本科,不限,"作为腾讯营销云解决方案架构师，你将作为业务与技术的桥梁，深耕零售、汽车、金融或政企等重点行业。你不仅需要理解客户的商业增长痛点，更要整合腾讯企点营销云、微信生态 (私域) 以及腾讯AI能力，为头部企业设计从公域引流到私域运营、从数据驱动到全域增长的端到端技术方案。

具体职责；
1.方案设计与规划：负责全域营销、私域运营、CDP（客户数据平台）、MA（营销自动化）等场景的技术架构设计，确保方案在腾讯云环境下的高性能与安全性；
2.客户需求洞察：与企业中高层（CMO/CDO/CTO）沟通，深度诊断业务痛点，提供数字化转型咨询，并将商业逻辑转化为可落地的技术路线图；
3.连接能力整合：发挥腾讯特有的“连接”优势，打通微信小程序、企业微信、腾讯会议、腾讯地图等组件，构建行业专属的营销闭环；
4.标杆项目落地：主导重点项目的技术招投标、POC（原型验证）及交付指导，解决复杂集成环境下的关键技术瓶颈。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2049337886914031616
